symbol,entry_time,exit_time,entry_price,exit_price,pnl_r,pnl_usd,exit_reason,decile,aggression,candles_held,mae,mfe,risk_pct,entry_atr,equity_after,atr_mult,vol_z_at_entry
NMRUSDT,2026-02-02T07:19:59.999000+00:00,2026-02-02T08:59:59.999000+00:00,9.1208238,9.237580685714287,0.2801,112.04,vol_trail,2,68.2,20,-0.308,0.8089,0.04,0.1005,10107.96,4.0,4.927603585043651
NMRUSDT,2026-02-02T18:54:59.999000+00:00,2026-02-02T22:14:59.999000+00:00,9.7909578,9.810751742857143,0.0561,22.69,vol_trail,1,60.6,40,-0.8174,0.4892,0.04,0.06849999999999959,10124.15,4.0,1.0248120111562755
UNIUSDT,2026-02-13T07:14:59.999000+00:00,2026-02-13T13:34:59.999000+00:00,3.3276654,3.3553287999999997,0.4422,179.08,vol_trail,3,71.3,76,-0.7214,0.6144,0.04,0.014785714285714307,10292.97,4.0,2.147889167464514
BNBUSDT,2026-02-13T14:29:59.999000+00:00,2026-02-13T18:19:59.999000+00:00,598.739724,614.0200285714285,1.8517,762.38,vol_trail,2,68.6,46,0.0,2.3276,0.04,2.0257142857142867,11041.66,4.0,3.9489241811713396
ZECUSDT,2026-02-14T19:44:59.999000+00:00,2026-02-14T20:09:59.999000+00:00,307.681524,308.63254685714287,0.0696,30.75,vol_trail,2,70.2,5,0.0,0.9265,0.04,2.9164285714285785,11067.17,4.0,2.7392921329878495
TAOUSDT,2026-02-16T00:44:59.999000+00:00,2026-02-16T03:29:59.999000+00:00,186.307254,189.93379135714287,1.337,591.86,vol_trail,8,82.1,33,-0.0971,1.7529,0.04,0.6621428571428579,11645.01,4.0,2.0051426079509613
ZECUSDT,2026-02-16T12:29:59.999000+00:00,2026-02-16T13:04:59.999000+00:00,299.019792,302.42807371428574,0.3521,163.99,vol_trail,3,72.8,7,-0.1764,0.7144,0.04,2.3235714285714346,11802.26,4.0,2.7018968573505773
TAOUSDT,2026-02-16T19:39:59.999000+00:00,2026-02-16T20:59:59.999000+00:00,194.08881000000002,195.0045627142857,0.1873,88.44,vol_trail,8,82.4,16,-0.5631,0.7333,0.04,1.105000000000002,11881.37,4.0,1.785052037664406
DOTUSDT,2026-02-25T01:09:59.999000+00:00,2026-02-25T01:14:59.999000+00:00,1.2442488,1.264318514285714,1.3126,623.8,vol_trail,5,75.8,1,0.0,1.9352,0.04,0.0037142857142857494,12466.76,4.0,3.5814344994456833
APTUSDT,2026-02-25T01:09:59.999000+00:00,2026-02-25T01:14:59.999000+00:00,0.8336667,0.8417030542857143,0.8816,418.37,vol_trail,2,70.4,1,0.0,1.9265,0.04,0.0021714285714285702,12885.13,4.0,1.3528408307646995
