symbol,entry_time,exit_time,entry_price,exit_price,pnl_r,pnl_usd,exit_reason,decile,aggression,candles_held,mae,mfe,risk_pct,entry_atr,equity_after,atr_mult,vol_z_at_entry
NMRUSDT,2026-02-02T00:44:59.999000+00:00,2026-02-02T02:59:59.999000+00:00,8.855770799999998,8.85808517142857,-0.0083,-3.31,vol_trail,1,52.7,27,-0.3301,0.6586,0.04,0.06742857142857137,9988.81,3.0,0.17941895044929254
NMRUSDT,2026-02-02T07:19:59.999000+00:00,2026-02-02T08:59:59.999000+00:00,9.1208238,9.237580685714287,0.3735,149.22,vol_trail,2,68.2,20,-0.4107,1.0785,0.04,0.1005,10132.59,3.0,4.927603585043651
NMRUSDT,2026-02-02T15:39:59.999000+00:00,2026-02-02T17:49:59.999000+00:00,9.352870200000002,9.506384057142856,0.8391,340.08,vol_trail,1,61.9,26,0.0,1.575,0.04,0.059285714285714164,10463.08,3.0,-0.5517719681469381
UNIUSDT,2026-02-13T01:49:59.999000+00:00,2026-02-13T07:44:59.999000+00:00,3.2786556,3.292912714285715,0.2951,123.52,vol_trail,1,59.2,71,-0.6158,1.14,0.04,0.01442857142857133,10572.34,3.0,-0.31051556412984066
UNIUSDT,2026-02-13T13:04:59.999000+00:00,2026-02-13T13:29:59.999000+00:00,3.3436686,3.3562214785714284,0.3262,137.93,vol_trail,9,82.8,5,-0.1674,0.6005,0.04,0.011285714285714375,10691.48,3.0,5.649507478001635
BNBUSDT,2026-02-13T14:29:59.999000+00:00,2026-02-13T18:19:59.999000+00:00,598.739724,614.0200285714285,2.4689,1055.86,vol_trail,2,68.6,46,0.0,3.1035,0.04,2.0257142857142867,11728.37,3.0,3.9489241811713396
ZECUSDT,2026-02-14T19:19:59.999000+00:00,2026-02-14T20:09:59.999000+00:00,298.51969199999996,308.63254685714287,1.3352,626.39,vol_trail,1,61.6,10,-0.0722,2.6734,0.04,2.489999999999997,12346.33,3.0,0.49832997265590595
TAOUSDT,2026-02-16T00:44:59.999000+00:00,2026-02-16T03:29:59.999000+00:00,186.307254,189.93379135714287,1.7826,880.36,vol_trail,8,82.1,33,-0.1295,2.3372,0.04,0.6621428571428579,13205.84,3.0,2.0051426079509613
ZECUSDT,2026-02-16T12:29:59.999000+00:00,2026-02-16T13:04:59.999000+00:00,299.019792,302.42807371428574,0.4694,247.96,vol_trail,3,72.8,7,-0.2352,0.9526,0.04,2.3235714285714346,13443.61,3.0,2.7018968573505773
TAOUSDT,2026-02-16T19:34:59.999000+00:00,2026-02-16T19:49:59.999000+00:00,192.698532,193.09851542857143,0.099,53.23,vol_trail,3,72.0,3,-0.0533,0.6233,0.04,1.0542857142857156,13482.09,3.0,0.14665918966278596
DOTUSDT,2026-02-25T01:09:59.999000+00:00,2026-02-25T01:14:59.999000+00:00,1.2442488,1.264318514285714,1.7501,943.78,vol_trail,5,75.8,1,0.0,2.5802,0.04,0.0037142857142857494,14367.79,3.0,3.5814344994456833
